acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll,times
-2.11,0.52,9.5,-0.75,0.31,-0.12,7.5,17.56,-41.5,6:49:46
-2.1,0.53,9.56,-0.63,0.81,-0.12,7.88,16.75,-40.38,6:49:46
-2.17,0.48,9.53,-1.44,0.75,-0.31,7.88,16.37,-41.5,6:49:46
-2.15,0.48,9.48,-0.63,0.12,-0.12,7.19,16.75,-41.88,6:49:46
-2.15,0.41,9.63,-1.94,-0.63,-0.06,7.88,17.19,-42.25,6:49:46
-2.22,0.45,9.53,-4.13,0.31,-1,7.19,16.75,-40.75,6:49:47
-2.18,0.51,9.51,-0.94,0.06,-0.31,7.88,17.19,-41.06,6:49:47
-2.17,0.49,9.52,-1.12,0.06,-0.06,8.69,16.37,-40.75,6:49:47
-2.17,0.49,9.49,0.19,0.31,0,7.88,17.19,-41.5,6:49:47
-2.16,0.47,9.47,0.19,0.19,0.06,7.5,17.19,-40.38,6:49:47
-2.19,0.49,9.49,0.37,0.25,0.06,7.88,16.75,-40.38,6:49:47
-2.15,0.48,9.47,-0.12,0.19,0,8.25,16.37,-41.5,6:49:48
-2.21,0.51,9.51,0.12,0.12,-0.12,7.88,17.56,-40.75,6:49:48
-2.15,0.49,9.51,-0.31,0.31,-0.12,7.5,16.75,-40.75,6:49:48
-2.16,0.49,9.48,0.06,0.12,0,7.5,17.19,-41.5,6:49:48
-2.17,0.5,9.47,-0.06,-0.12,-0.06,8.25,16.37,-41.88,6:49:48
-2.17,0.47,9.49,0,0.37,0,7.5,16.37,-41.06,6:49:48
-2.16,0.45,9.49,-0.06,0,-0.19,8.25,17.19,-41.5,6:49:49
-2.17,0.45,9.52,-0.69,0.19,0.06,7.5,17.19,-41.06,6:49:49
-2.16,0.46,9.5,-0.12,0.06,-0.12,6.38,16.75,-41.5,6:49:49
-2.2,0.48,9.52,-0.19,0.25,0,7.5,16.75,-41.06,6:49:49
-2.15,0.48,9.5,-0.12,0.19,-0.06,8.25,16.75,-41.88,6:49:49
-2.19,0.5,9.49,0.31,-0.12,0.19,7.5,16.75,-40.75,6:49:49
-2.19,0.47,9.49,0.12,-0.12,0.06,7.5,16.75,-41.88,6:49:50
-2.21,0.45,9.47,-0.31,-0.06,-0.06,7.19,17.19,-40.38,6:49:50
-2.17,0.46,9.49,-0.06,-0.06,0,7.88,16.75,-40.38,6:49:50
-2.17,0.47,9.52,-0.12,-0.06,0,7.88,17.19,-41.88,6:49:50
-2.17,0.5,9.5,-0.12,0.19,-0.06,7.19,16.75,-41.5,6:49:50
-2.17,0.47,9.49,-0.37,-0.12,0,7.88,16.75,-40.75,6:49:50
-2.19,0.46,9.49,-0.31,0.19,0,7.88,16.75,-41.06,6:49:50
-2.16,0.48,9.51,-0.19,0.12,0.06,7.19,17.56,-42.25,6:49:51
-2.18,0.47,9.52,0.06,0.31,-0.12,7.5,17.19,-41.5,6:49:51
-2.17,0.47,9.52,-0.06,-0.44,0.19,7.5,17.19,-41.06,6:49:51
-2.17,0.47,9.53,-0.37,-0.25,0,7.19,17.19,-41.5,6:49:51
-2.17,0.45,9.49,-0.19,-0.31,-0.06,7.5,17.19,-41.5,6:49:51
-2.17,0.46,9.52,0,-0.12,-0.06,7.5,17.19,-41.06,6:49:51
-2.17,0.46,9.5,0.37,-0.19,0.06,7.5,16.75,-41.5,6:49:52
-2.18,0.47,9.51,-0.12,-0.12,0,7.5,16.75,-41.06,6:49:52
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
